row_number,term_code,subj_code,crse_numb,crse_title,crse_equiv,crse_text,note_row,crn,ptrm_code,seq_numb,schd_code,schd_type,schd_sort,credit_hrs,link_conn,start_date,end_date,sundays,mondays,tuesdays,wednesdays,thursdays,fridays,saturdays,times,locations,max_enrl,enrl,seats,wlist,perc_full,xlist_max,xlist_cur,instructors,tuition_code,tuition_desc,bill_hrs,note_bottom,notes_skill,crse_row_num,crse_row_total
34,202620,MECH,4900,Systems II,,,R,22047,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,R,F F,,0835-1025 0835-1025 0835-1025 0835-1025,Sexton H. R. THEAKSTON-C1 BLDG C1255 Sexton H. R. THEAKSTON-C1 BLDG C1255 Sexton H. R. THEAKSTON-C1 BLDG C1255 Sexton RALPH M MEDJUCK BLDG B015,125,113,12,,90.4%,,,Bauer R.,,,0,,[],15,31
35,202620,MECH,6251,Adv. Thermo-Fluids,,,R,24420,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,,F,,1405-1555 1005-1155,Sexton INDUSTRIAL ENG & CONT ED ADDIT 222 Sexton INDUSTRIAL ENG & CONT ED ADDIT 222,10,4,6,,40.0%,,,Groulx D. (P) Nyantekyi-Kwakye B.  Saeedi M.,,,3,,[],16,31
36,202620,MECH,6253,Turbulence,,,R,24496,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,,,F,,0935-1125 1335-1525,Sexton INDUSTRIAL ENG & CONT ED ADDIT 121 Sexton INDUSTRIAL ENG & CONT ED ADDIT 120,10,7,3,,70.0%,,,Nyantekyi-Kwakye B. (P) Saeedi M.,,,3,,[],17,31
37,202620,MECH,6660,Finite Element Simulation Tech,,,R,24133,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,8,3,5,,37.5%,,,Taheri F.,,,3,,[],18,31
38,202620,MECH,6660,Finite Element Simulation Tech,,,R,24134,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,8,3,5,,37.5%,,,Taheri F.,,,0,,[],18,31
39,202620,MECH,6900,Res. Skills Sem. I,,,R,24406,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Sexton A. L. MACDONALD-D BLDG D501,10,7,3,,70.0%,75,45,Farhat Z.,,,3,,[],19,31
40,202620,MECH,6910,Graduate Seminar I,,,R,23547,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Sexton A. L. MACDONALD-D BLDG D501,25,9,16,,36.0%,75,45,Farhat Z.,,,3,,[],20,31
41,202620,MECH,6990,Directed Studies,,,S R,24076,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,3,1,2,,33.3%,,,Pan Y. (P) Bauer R.,,,3,Vision-based path planning for robotic manipulators,[],21,31
42,202620,MECH,7900,Res. Skills and Sem. II,,,R,24405,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Sexton A. L. MACDONALD-D BLDG D501,10,3,7,,30.0%,75,45,Farhat Z.,,,3,,[],22,31
43,202620,MECH,7910,Graduate Seminar II,,,R,23549,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Sexton A. L. MACDONALD-D BLDG D501,30,26,4,,86.7%,75,45,Farhat Z.,,,3,,[],23,31
44,202620,MECH,8891,Co-op Work-Term I,,,R,22050,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,5,95,,5.0%,,,Warkentin A.,,,0,,[],24,31
45,202620,MECH,8892,Co-op Work-Term II,,,R,22051,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,20,80,,20.0%,,,Warkentin A.,,,0,,[],25,31
46,202620,MECH,8893,Co-op Work-Term III,,,R,22052,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,57,43,,57.0%,,,Warkentin A.,,,0,,[],26,31
47,202620,MECH,8894,Co-op Work-Term IV,,,R,22053,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,0,100,,0.0%,,,Warkentin A.,,,0,,[],27,31
48,202620,MECH,8900,MEng Project,,,R,23550,2,01,S,Ths,8,6,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,1,9,,10.0%,,,Bauer R.,,,6,,[],28,31
49,202620,MECH,9000,Master's Thesis,,,R,23551,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,10,40,,20.0%,,,Bauer R.,,,0,,[],29,31
50,202620,MECH,9413,Comprehensive Examination,,,,24221,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,0,75,,0.0%,,,Bauer R.,,,0,,[],30,31
